Stagione,Pos,Gio,Pti,Vit,Par,Sco,GolF,GolS,DR,Team,Year,Coach,Nationality,Matches,Seasons,Finals,Titles,Points,PPM,Squad Size,Average Age,Foreigners,Average Market Value,Total Market Value ,Players In,Players Out,Average Age IN players,Average Age OUT players,Market Value IN Players,Market Value OUT Players,Fees Players IN,Fees Players OUT,Net_Spent
2023-2024,4,38,69,21,6,11,72,42,30,Atalanta BC,2023,Gian Piero Gasperini,Italy,38,1,0,0,69,1.82,42,25.2,21,10380000,436050000,6,31,24,24.03225806,60500000,153700000,72700000,152238000,79538000
2024-2025,0,6,7,2,1,3,11,12,-1,Atalanta BC,2024,Gian Piero Gasperini,Italy,6,1,0,0,7,1.17,26,27.3,15,16390000,426100000,7,11,27.28571429,26.81818182,81000000,99700000,83500000,110450000,26950000
2004-2005,17,38,42,10,12,16,48,65,-17,Parma Calcio 1913,2004,Pietro Carmignani,Italy,25,1,0,0,33,1.32,44,23.8,8,2500000,110050000,14,18,23.64285714,27.55555556,900000,0,580000,25310000,24730000
2005-2006,7,38,45,12,9,17,46,60,-14,Parma Calcio 1913,2005,Mario Beretta,Italy,38,1,0,0,45,1.18,40,24.8,8,1430000,57050000,10,13,24.2,21.38461538,15150000,0,11650000,26250000,14600000
2006-2007,12,38,42,10,12,16,41,56,-15,Parma Calcio 1913,2006,Claudio Ranieri,Italy,16,1,0,0,27,1.69,38,24.6,8,1230000,46900000,6,11,24.66666667,25.18181818,9100000,0,2620000,22300000,19680000
2007-2008,19,38,34,7,13,18,42,62,-20,Parma Calcio 1913,2007,Domenico Di Carlo,Italy,25,1,0,0,34,0.89,41,25.9,7,1280000,52500000,18,13,25.5,25.61538462,30850000,0,15700000,4900000,-10800000
2009-2010,8,38,52,14,10,14,46,51,-5,Parma Calcio 1913,2009,Francesco Guidolin,Italy,38,1,0,0,52,1.37,51,25,16,1620000,82830000,25,17,24.36,25.64705882,30150000,110000,26221000,30900000,4679000
2010-2011,12,38,46,11,13,14,39,47,-8,Parma Calcio 1913,2010,Franco Colomba,Italy,7,1,0,0,14,1.515,43,25.6,14,2000000,86050000,24,17,23.54166667,23.41176471,36550000,475000,28500000,17075000,-11425000
2011-2012,8,38,56,15,11,12,54,53,1,Parma Calcio 1913,2011,Roberto Donadoni,Italy,21,1,0,0,37,1.44,43,25.7,12,1920000,82350000,20,25,21.9,23.96,17150000,2200000,9410000,29600000,20190000
2012-2013,10,38,49,13,10,15,45,46,-1,Parma Calcio 1913,2012,Roberto Donadoni,Italy,38,1,0,0,49,1.29,42,26.1,18,2040000,85780000,44,29,22.59090909,24.65517241,36000000,4150000,28200000,19550000,-8650000
2013-2014,6,38,58,15,13,10,58,46,12,Parma Calcio 1913,2013,Roberto Donadoni,Italy,38,1,0,0,58,1.53,48,25.6,22,1870000,89780000,107,46,22.81308411,22.26086957,35400000,12675000,13592000,35220000,21628000
2014-2015 (-7),20,38,19,6,8,24,33,75,-42,Parma Calcio 1913,2014,Roberto Donadoni,Italy,38,1,0,0,26,0.68,55,25.6,24,1200000,65950000,33,95,23.42424242,24.06315789,25700000,9000000,17240000,17750000,510000
2018-2019,14,38,41,10,11,17,41,61,-20,Parma Calcio 1913,2018,Roberto D'Aversa,Italy,38,1,0,0,41,1.08,70,26.1,19,1370000,95750000,20,6,25.9,29.16666667,24750000,3075000,20801000,596000,-20205000
2019-2020,11,38,49,14,7,17,56,57,-1,Parma Calcio 1913,2019,Roberto D'Aversa,Italy,38,1,0,0,49,1.29,40,26.6,19,3220000,128750000,16,27,23.8125,26.81481481,20200000,9775000,20709000,16900000,-3809000
2020-2021,20,38,20,3,11,24,39,83,-44,Parma Calcio 1913,2020,Fabio Liverani,Italy,16,1,0,0,12,0.75,53,25.5,30,2430000,128700000,20,15,22.65,25.73333333,59550000,2945000,97830000,4000000,-93830000
2024-2025,0,6,5,1,2,3,10,12,-2,Parma Calcio 1913,2024,Fabio Pecchia,Italy,6,1,0,0,5,0.83,29,24.7,23,3600000,104500000,9,14,21,25.71428571,28400000,12475000,32500000,6650000,-25850000
2004-2005,4,38,62,17,11,10,56,40,16,Udinese Calcio,2004,Luciano Spalletti,Italy,38,1,0,0,62,1.63,34,25.6,17,2470000,83950000,11,12,21.81818182,25.91666667,1000000,0,100000,2200000,2100000
2005-2006,11,38,43,11,10,17,40,54,-14,Udinese Calcio,2005,Giovanni Galeone,Italy,8,1,0,0,15,1.48,45,24.9,17,1990000,89600000,25,15,22.48,27.66666667,19825000,0,8650000,27300000,18650000
2006-2007,10,38,46,12,10,16,49,55,-6,Udinese Calcio,2006,Alberto Malesani,Italy,19,1,0,0,23,1.21,52,22.5,25,2010000,104580000,19,14,20.89473684,27.71428571,14300000,0,15145000,12600000,-2545000
2007-2008,7,38,57,16,9,13,48,53,-5,Udinese Calcio,2007,Pasquale Marino,Italy,38,1,0,0,57,1.5,49,23.2,24,2350000,115050000,14,15,22.42857143,24.6,22400000,0,21660000,28960000,7300000
2008-2009,7,38,58,16,10,12,61,50,11,Udinese Calcio,2008,Pasquale Marino,Italy,38,1,0,0,58,1.53,37,24.1,20,3370000,124650000,21,16,23.71428571,24.5625,30250000,100000,20100000,33700000,13600000
2009-2010,16,38,44,11,11,16,54,59,-5,Udinese Calcio,2009,Pasquale Marino,Italy,30,1,0,0,38,1.27,49,23.9,30,2770000,135580000,23,13,22.39130435,24.46153846,12150000,0,18333000,31050000,12717000
2010-2011,4,38,66,20,6,12,65,43,22,Udinese Calcio,2010,Francesco Guidolin,Italy,38,1,0,0,66,1.74,40,24.6,23,3430000,137050000,15,17,21.13333333,22.94117647,23600000,100000,13550000,23800000,10250000
2011-2012,3,38,64,18,10,10,52,35,17,Udinese Calcio,2011,Francesco Guidolin,Italy,38,1,0,0,64,1.68,49,23.9,25,2860000,140130000,15,27,22.4,24.92592593,34400000,3150000,20611000,68750000,48139000
2012-2013,5,38,66,18,12,8,59,45,14,Udinese Calcio,2012,Francesco Guidolin,Italy,38,1,0,0,66,1.74,48,23.8,23,2520000,121000000,15,22,23.26666667,24.95454545,25550000,1400000,30400000,58450000,28050000
2013-2014,13,38,44,12,8,18,46,57,-11,Udinese Calcio,2013,Francesco Guidolin,Italy,38,1,0,0,44,1.16,63,24.2,41,1970000,123950000,22,22,21.18181818,24.5,23500000,4925000,24410000,47700000,23290000
2014-2015,16,38,41,10,11,17,43,56,-13,Udinese Calcio,2014,Andrea Stramaccioni,Italy,38,1,0,0,41,1.08,50,24.4,36,2140000,107180000,17,18,23,24.16666667,40000000,4300000,29200000,22200000,-7000000
2015-2016,17,38,39,10,9,19,35,60,-25,Udinese Calcio,2015,Stefano Colantuono,Italy,29,1,0,0,30,1.015,43,26.8,31,2160000,93000000,15,25,24.2,23.72,31350000,21550000,21420000,74000000,52580000
2016-2017,13,38,45,12,9,17,47,56,-9,Udinese Calcio,2016,Luigi Delneri,Italy,31,1,0,0,38,1.115,44,25,34,2320000,101950000,11,30,22.18181818,25.66666667,14600000,63950000,26500000,31100000,4600000
2017-2018,14,38,40,12,4,22,48,63,-15,Udinese Calcio,2017,Igor Tudor,Croatia,4,1,0,0,7,1.233333333,46,24.4,35,2350000,108030000,14,11,24.5,24.63636364,17475000,99750000,22441000,16800000,-5641000
2018-2019,12,38,43,11,10,17,39,53,-14,Udinese Calcio,2018,Igor Tudor,Croatia,11,1,0,0,18,1.153333333,56,25.2,41,3590000,201200000,11,19,23.45454545,25.94736842,35250000,12575000,51300000,11611000,-39689000
2019-2020,13,38,45,12,9,17,37,51,-14,Udinese Calcio,2019,Luca Gotti,Italy,29,1,0,0,38,1.31,39,25.3,28,3100000,121080000,11,14,27.36363636,27.5,35200000,21550000,13850000,59535000,45685000
2020-2021,14,38,40,10,10,18,42,58,-16,Udinese Calcio,2020,Luca Gotti,Italy,38,1,0,0,40,1.05,42,26.2,30,4120000,173000000,9,14,25.55555556,24.71428571,29325000,34400000,20500000,30900000,10400000
2021-2022,12,38,47,11,14,13,61,58,3,Udinese Calcio,2021,Gabriele Cioffi,Italy,22,1,0,0,31,1.205,44,25.4,26,3230000,142300000,8,17,24.875,27.70588235,23250000,50425000,9400000,79625000,70225000
2022-2023,12,38,46,11,13,14,47,48,-1,Udinese Calcio,2022,Andrea Sottil,Italy,38,1,0,0,46,1.21,38,25.3,28,4970000,188860000,18,16,22.61111111,25.25,71500000,86875000,69700000,62600000,-7100000
2023-2024,15,38,37,6,19,13,37,53,-16,Udinese Calcio,2023,Fabio Cannavaro,Italy,6,1,0,0,9,1.23,45,24.7,36,3780000,170060000,15,11,23.6,26.18181818,38750000,39950000,29450000,34090000,4640000
2024-2025,0,6,10,3,1,2,9,10,-1,Udinese Calcio,2024,Kosta Runjaic,Germany,6,1,0,0,10,1.67,32,25.6,29,3510000,112480000,12,10,23.5,26.7,46900000,26050000,24100000,19000000,-5100000
2021-2022,20,38,27,6,9,23,34,69,-35,Venezia FC,2021,Andrea Soncin,Italy,5,1,0,0,5,0.835,51,25.2,35,1590000,80980000,15,10,24.06666667,29.9,31800000,2050000,18690000,200000,-18490000
2024-2025,0,6,4,1,1,4,4,10,-6,Venezia FC,2024,Eusebio Di Francesco,Italy,6,1,0,0,4,0.67,30,25.6,20,1930000,57780000,11,9,22.18181818,27,17725000,12000000,13500000,6300000,-7200000
2004-2005,1,38,86,26,8,4,67,27,40,Juventus FC,2004,Fabio Capello,Italy,38,1,0,0,86,2.26,39,26.2,14,7820000,304900000,11,15,23.45454545,25.4,15000000,0,71120000,45450000,-25670000
2005-2006,20,38,91,27,10,1,71,24,47,Juventus FC,2005,Fabio Capello,Italy,38,1,0,0,91,2.39,36,27.1,15,8580000,308900000,10,11,23.4,26.72727273,67500000,0,30240000,12780000,-17460000
2007-2008,3,38,72,20,12,6,72,37,35,Juventus FC,2007,Claudio Ranieri,Italy,38,1,0,0,72,1.89,38,25.8,14,6230000,236850000,18,22,23.5,25.13636364,81150000,0,69050000,30660000,-38390000
2008-2009,2,38,74,21,11,6,69,37,32,Juventus FC,2008,Ciro Ferrara,Italy,2,1,0,0,6,2.445,34,27.1,14,7550000,256850000,14,18,23.64285714,22.77777778,41950000,150000,39750000,31303000,-8447000
2009-2010,7,38,55,16,7,15,55,56,-1,Juventus FC,2009,Ciro Ferrara,Italy,21,1,0,0,33,1.43,44,26,14,6210000,273100000,8,7,24.75,27.28571429,56000000,0,57300000,12500000,-44800000
2010-2011,7,38,58,15,13,10,57,47,10,Juventus FC,2010,Luigi Delneri,Italy,38,1,0,0,58,1.53,51,25.9,15,5080000,258930000,12,23,25.33333333,26.30434783,55900000,450000,47300000,35580000,-11720000
2011-2012,1,38,84,23,15,0,68,20,48,Juventus FC,2011,Antonio Conte,Italy,38,1,0,0,84,2.21,34,28.2,12,7710000,262280000,17,24,25.17647059,23.83333333,147900000,1700000,99330000,18600000,-80730000
2012-2013,1,38,87,27,6,5,71,24,47,Juventus FC,2012,Massimo Carrera,Italy,7,1,0,0,19,2.323333333,40,26.8,17,8450000,337900000,19,16,23.05263158,26.125,78800000,4225000,71800000,19300000,-52500000
2013-2014,1,38,102,33,3,2,80,23,57,Juventus FC,2013,Antonio Conte,Italy,38,1,0,0,102,2.68,48,26,20,8160000,391450000,16,19,22.5,23.73684211,83825000,9850000,49500000,68850000,19350000
2014-2015,1,38,87,26,9,3,72,24,48,Juventus FC,2014,Massimiliano Allegri,Italy,38,1,0,0,87,2.29,35,27.4,12,9400000,329000000,22,14,21.72727273,24.64285714,40700000,1250000,52600000,23800000,-28800000
2015-2016,1,38,91,29,4,5,75,20,55,Juventus FC,2015,Massimiliano Allegri,Italy,38,1,0,0,91,2.39,38,25.9,21,11580000,440000000,21,18,22,25.05555556,146725000,14350000,151199000,71180000,-80019000
2016-2017,1,38,91,29,4,5,77,27,50,Juventus FC,2016,Massimiliano Allegri,Italy,38,1,0,0,91,2.39,38,26.6,19,13080000,497180000,11,27,23.54545455,24.77777778,152000000,23900000,194200000,169740000,-24460000
2017-2018,1,38,95,30,5,3,86,24,62,Juventus FC,2017,Massimiliano Allegri,Italy,38,1,0,0,95,2.5,33,26.9,17,19790000,653150000,12,28,23.75,23.46428571,135250000,71675000,168500000,141150000,-27350000
2018-2019,1,38,90,28,6,4,70,30,40,Juventus FC,2018,Massimiliano Allegri,Italy,38,1,0,0,90,2.37,59,25.4,25,14760000,871050000,8,22,25.875,25.5,275600000,19875000,261200000,84940000,-176260000
2019-2020,1,38,83,26,5,7,76,43,33,Juventus FC,2019,Maurizio Sarri,Italy,38,1,0,0,83,2.18,38,27.2,23,17420000,661880000,10,17,24.4,25,231225000,73275000,235300000,201622000,-33678000
2020-2021,4,38,78,23,9,6,77,38,39,Juventus FC,2020,Andrea Pirlo,Italy,38,1,0,0,78,2.05,45,25.2,26,14070000,633300000,8,8,21,26.875,75375000,13900000,124800000,105000000,-19800000
2021-2022,4,38,70,20,10,8,57,37,20,Juventus FC,2021,Massimiliano Allegri,Italy,38,1,0,0,70,1.84,43,25.5,24,14940000,642500000,7,4,21.57142857,31.5,149700000,115000000,134650000,53000000,-81650000
2022-2023 (-10),7,38,62,22,6,10,56,33,23,Juventus FC,2022,Massimiliano Allegri,Italy,38,1,0,0,72,1.89,40,25.9,19,12080000,483130000,10,9,24,27.77777778,200900000,107800000,119500000,99860000,-19640000
2023-2024,3,38,71,19,14,5,54,31,23,Juventus FC,2023,Paolo Montero,Uruguay,2,1,0,0,4,1.93,39,25.2,19,12940000,504530000,9,9,22.44444444,27.44444444,89400000,115600000,91550000,63580000,-27970000
2024-2025,0,6,12,3,3,0,9,0,9,Juventus FC,2024,Thiago Motta,Italy,6,1,0,0,12,2,27,25.8,19,21300000,575150000,8,13,22.125,24.69230769,159950000,163300000,141600000,103000000,-38600000
2004-2005,10,38,44,11,11,16,48,53,-5,SS Lazio,2004,Giuseppe Papadopulo,Italy,22,1,0,0,27,1.145,45,26.3,12,1710000,77050000,11,14,24.18181818,29.42857143,50000,0,10110000,37500000,27390000
2005-2006 (-30),16,38,32,16,14,8,57,47,10,SS Lazio,2005,Delio Rossi,Italy,38,1,0,0,62,1.63,50,25.8,14,1660000,83050000,11,12,24.72727273,27.75,4280000,0,6600000,2000000,-4600000
2006-2007 (-3),3,38,62,18,11,9,59,33,26,SS Lazio,2006,Delio Rossi,Italy,38,1,0,0,65,1.71,34,27.2,10,3100000,105350000,12,10,23.41666667,27,25400000,0,23850000,8500000,-15350000
2007-2008,12,38,46,11,13,14,47,51,-4,SS Lazio,2007,Delio Rossi,Italy,38,1,0,0,46,1.21,40,26.5,15,2770000,110800000,10,4,23.9,27.5,14100000,0,6138000,625000,-5513000
2008-2009,10,38,50,15,5,18,46,55,-9,SS Lazio,2008,Delio Rossi,Italy,38,1,0,0,50,1.32,37,25.9,17,2960000,109650000,11,8,22.36363636,30,17600000,0,20250000,12300000,-7950000
2009-2010,12,38,46,11,13,14,39,43,-4,SS Lazio,2009,Edoardo Reja,Italy,15,1,0,0,24,1.28,62,25.2,23,2280000,141100000,12,9,25.33333333,22.44444444,38000000,400000,30650000,11500000,-19150000
2010-2011,5,38,66,20,6,12,55,39,16,SS Lazio,2010,Edoardo Reja,Italy,38,1,0,0,66,1.74,44,27,22,2540000,111730000,7,14,25.85714286,29,31350000,75000,29500000,26560000,-2940000
2011-2012,4,38,62,18,8,12,56,47,9,SS Lazio,2011,Edoardo Reja,Italy,38,1,0,0,62,1.63,52,25.7,22,2190000,113630000,13,10,24.69230769,27.8,44000000,1650000,22340000,22180000,-160000
2012-2013,7,38,61,18,7,13,51,42,9,SS Lazio,2012,Vladimir Petkovic,Switzerland,38,1,0,0,61,1.61,55,25.4,29,2610000,143280000,10,13,22.6,28.15384615,13750000,500000,1530000,550000,-980000
2013-2014,9,38,56,15,11,12,54,54,0,SS Lazio,2013,Edoardo Reja,Italy,21,1,0,0,36,1.445,54,25.5,33,3020000,162950000,11,13,21.63636364,29,31000000,175000,26830000,28300000,1470000
2014-2015,3,38,69,21,6,11,71,38,33,SS Lazio,2014,Stefano Pioli,Italy,38,1,0,0,69,1.82,36,26.8,27,4650000,167550000,11,12,22.72727273,24,19975000,1225000,12250000,150000,-12100000
2015-2016,8,38,54,15,9,14,52,52,0,SS Lazio,2015,Simone Inzaghi,Italy,7,1,0,0,12,1.53,38,26.2,26,4610000,175300000,14,16,23,26.8125,26350000,375000,31250000,2370000,-28880000
2016-2017,5,38,70,21,7,10,74,51,23,SS Lazio,2016,Simone Inzaghi,Italy,38,1,0,0,70,1.84,46,24.2,33,4920000,226450000,8,13,22.125,28.84615385,30700000,1400000,36300000,27500000,-8800000
2017-2018,5,38,72,21,9,8,89,49,40,SS Lazio,2017,Simone Inzaghi,Italy,38,1,0,0,72,1.89,44,25.3,28,9290000,408780000,8,8,25.125,24.375,18875000,4750000,14600000,71920000,57320000
2018-2019,8,38,59,17,8,13,56,46,10,SS Lazio,2018,Simone Inzaghi,Italy,38,1,0,0,59,1.55,57,24.9,33,5110000,291150000,10,13,25.5,25,52550000,15700000,51280000,38000000,-13280000
2019-2020,4,38,78,24,6,8,79,42,37,SS Lazio,2019,Simone Inzaghi,Italy,38,1,0,0,78,2.05,34,26.6,24,8940000,303880000,17,11,21.47058824,23.63636364,43125000,56550000,49946000,33800000,-16146000
2020-2021,6,38,68,21,5,12,61,55,6,SS Lazio,2020,Simone Inzaghi,Italy,38,1,0,0,68,1.79,44,26.1,32,7420000,326330000,7,10,27.42857143,28.5,28200000,3810000,41700000,6950000,-34750000
2021-2022,5,38,64,18,10,10,77,58,19,SS Lazio,2021,Maurizio Sarri,Italy,38,1,0,0,64,1.68,35,27.5,24,7560000,264530000,7,11,23.85714286,26.72727273,40800000,2475000,13300000,2000000,-11300000
2022-2023,2,38,74,22,8,8,60,30,30,SS Lazio,2022,Maurizio Sarri,Italy,38,1,0,0,74,1.95,33,26.5,20,8070000,266430000,9,19,24.55555556,25.89473684,70100000,43800000,41650000,42020000,370000
2023-2024,7,38,61,18,7,13,49,39,10,SS Lazio,2023,Giovanni Martusciello,Italy,1,1,0,0,3,2.143333333,37,26.4,20,6090000,225450000,8,10,21.125,28.6,56550000,41000000,37900000,46500000,8600000
2024-2025,0,6,10,3,1,2,12,10,2,SS Lazio,2024,Marco Baroni,Italy,6,1,0,0,10,1.67,31,26.6,21,7230000,224050000,8,10,21.625,27.1,50575000,48000000,32400000,23100000,-9300000
2004-2005,2,38,79,23,10,5,63,28,35,AC Milan,2004,Carlo Ancelotti,Italy,38,1,0,0,79,2.08,37,27.2,17,7400000,273700000,6,6,26.66666667,27.16666667,0,0,11000000,11800000,800000
2005-2006 (-30),3,38,58,28,4,6,85,31,54,AC Milan,2005,Carlo Ancelotti,Italy,38,1,0,0,88,2.32,36,27.9,17,7490000,269750000,9,8,26.33333333,27.75,57000000,0,33500000,12000000,-21500000
2006-2007 (-8),4,38,61,19,12,7,57,36,21,AC Milan,2006,Carlo Ancelotti,Italy,38,1,0,0,69,1.82,43,27.5,16,6380000,274350000,11,12,25.90909091,26.25,61700000,0,41600000,57031000,15431000
2007-2008,5,38,64,18,10,10,66,38,28,AC Milan,2007,Carlo Ancelotti,Italy,38,1,0,0,64,1.68,41,27.6,18,6810000,279400000,6,5,22.83333333,28.4,21000000,0,29000000,8600000,-20400000
2008-2009,3,38,74,22,8,8,70,35,35,AC Milan,2008,Carlo Ancelotti,Italy,38,1,0,0,74,1.95,35,28.1,19,9130000,319400000,12,23,23.25,26.91304348,87100000,225000,71380000,46550000,-24830000
2009-2010,3,38,70,20,10,8,60,39,21,AC Milan,2009,Leonardo,Brazil,38,1,0,0,70,1.84,41,27.3,16,6250000,256450000,8,9,24.125,25.55555556,30100000,150000,22100000,80510000,58410000
2010-2011,1,38,82,24,10,4,65,24,41,AC Milan,2010,Massimiliano Allegri,Italy,38,1,0,0,82,2.16,45,27.7,22,6400000,288080000,15,16,25,25.6875,77450000,4275000,42898000,25731000,-17167000
2011-2012,2,38,80,24,8,6,74,33,41,AC Milan,2011,Massimiliano Allegri,Italy,38,1,0,0,80,2.11,45,26.8,21,6080000,273530000,16,17,22.75,24.47058824,93075000,6550000,63650000,22300000,-41350000
2012-2013,3,38,72,21,9,8,67,39,28,AC Milan,2012,Massimiliano Allegri,Italy,38,1,0,0,72,1.89,42,26,22,5680000,238530000,15,22,24,28.90909091,91725000,6725000,58950000,88000000,29050000
2013-2014,8,38,57,16,9,13,57,49,8,AC Milan,2013,Clarence Seedorf,Netherlands,19,1,0,0,35,1.5,47,25.8,22,5620000,263950000,15,14,24.13333333,25.85714286,74850000,975000,41730000,17400000,-24330000
2014-2015,10,38,52,13,13,12,56,50,6,AC Milan,2014,Filippo Inzaghi,Italy,38,1,0,0,52,1.37,47,25.7,19,5020000,236130000,13,17,25.30769231,24.41176471,74100000,23750000,14900000,27700000,12800000
2015-2016,7,38,57,15,12,11,49,43,6,AC Milan,2015,Siniša Mihajlović,Serbia,32,1,0,0,49,1.43,42,26.1,16,5090000,213830000,15,31,22.8,24.96774194,84875000,6700000,102280000,7700000,-94580000
2016-2017,6,38,63,18,9,11,57,45,12,AC Milan,2016,Vincenzo Montella,Italy,38,1,0,0,63,1.66,42,25.3,21,6060000,254330000,8,14,25.25,28.85714286,21400000,8075000,26560000,24350000,-2210000
2017-2018,6,38,64,18,10,10,56,42,14,AC Milan,2017,Gennaro Gattuso,Italy,24,1,0,0,44,1.63,42,25,17,9690000,407050000,10,18,24.1,25,153050000,21450000,180980000,33600000,-147380000
2018-2019,5,38,68,19,11,8,55,36,19,AC Milan,2018,Gennaro Gattuso,Italy,38,1,0,0,68,1.79,45,24.9,22,12860000,578480000,12,15,24.75,26.93333333,116675000,6200000,179440000,80200000,-99240000
2019-2020,6,38,66,19,9,10,63,46,17,AC Milan,2019,Stefano Pioli,Italy,31,1,0,0,57,1.565,37,25.7,22,10930000,404330000,7,14,24.28571429,25.64285714,90500000,42350000,140700000,56200000,-84500000
2020-2021,2,38,79,24,7,7,74,41,33,AC Milan,2020,Stefano Pioli,Italy,38,1,0,0,79,2.08,42,24.4,27,13040000,547780000,10,12,24.2,27.25,52100000,80800000,25220000,51650000,26430000
2021-2022,1,38,86,26,8,4,69,31,38,AC Milan,2021,Stefano Pioli,Italy,38,1,0,0,86,2.26,37,25.8,22,14780000,546950000,8,7,25.5,27.14285714,102000000,88675000,90000000,3500000,-86500000
2022-2023,4,38,70,20,10,8,64,43,21,AC Milan,2022,Stefano Pioli,Italy,38,1,0,0,70,1.84,36,26.4,27,15140000,545100000,9,14,23.55555556,22.78571429,60900000,42200000,54960000,10800000,-44160000
2023-2024,2,38,75,22,9,7,76,49,27,AC Milan,2023,Stefano Pioli,Italy,38,1,0,0,75,1.97,42,24.6,26,13610000,571410000,13,9,22.61538462,27.77777778,144050000,48000000,119500000,66700000,-52800000
2024-2025,0,6,11,3,2,1,14,7,7,AC Milan,2024,Paulo Fonseca,Portugal,6,1,0,0,11,1.83,26,25.8,19,23120000,601010000,8,14,22.5,26.57142857,100010000,67200000,71000000,28500000,-42500000
2024-2025,0,6,8,2,2,2,9,11,-2,Como 1907,2024,Cesc Fàbregas,Spain,6,1,0,0,8,1.33,32,27.3,16,2660000,85100000,19,6,25.63157895,28.16666667,70600000,6150000,49000000,3700000,-45300000